time;V(/VOUT)1;
2.2728e-07;-0.129635;
2.2828e-07;-0.129635;
2.2928e-07;-0.129635;
2.3028e-07;-0.129635;
2.3128e-07;-0.129635;
2.3228e-07;-0.129635;
2.3328e-07;-0.129635;
2.3428e-07;-0.129635;
2.3528e-07;-0.129635;
2.3628e-07;-0.129635;
2.3728e-07;-0.129635;
2.3828e-07;-0.129635;
2.3928e-07;-0.129635;
2.4028e-07;-0.129635;
2.4128e-07;-0.129635;
2.4228e-07;-0.129635;
2.4328e-07;-0.129635;
2.4428e-07;-0.129635;
2.4528e-07;-0.129635;
2.4628e-07;-0.129635;
2.4728e-07;-0.129635;
2.4828e-07;-0.129635;
2.4928e-07;-0.129635;
2.5028e-07;-0.129635;
2.5128e-07;-0.129635;
2.5228e-07;-0.129635;
2.5328e-07;-0.129635;
2.5428e-07;-0.129635;
2.5528e-07;-0.129635;
2.5628e-07;-0.129635;
2.5728e-07;-0.129635;
2.5828e-07;-0.129635;
2.5928e-07;-0.129635;
2.6028e-07;-0.129635;
2.6128e-07;-0.129635;
2.6228e-07;-0.129635;
2.6328e-07;-0.129635;
2.6428e-07;-0.129635;
2.6528e-07;-0.129635;
2.6628e-07;-0.129635;
2.6728e-07;-0.129635;
2.6828e-07;-0.129635;
2.6928e-07;-0.129635;
2.7028e-07;-0.129635;
2.7128e-07;-0.129635;
2.7228e-07;-0.129635;
2.7328e-07;-0.129635;
2.7428e-07;-0.129635;
2.7528e-07;-0.129635;
2.7628e-07;-0.129635;
2.7728e-07;-0.129635;
2.7828e-07;-0.129635;
2.7928e-07;-0.129635;
2.8028e-07;-0.129635;
2.8128e-07;-0.129635;
2.8228e-07;-0.129635;
2.8328e-07;-0.129635;
2.8428e-07;-0.129635;
2.8528e-07;-0.129635;
2.8628e-07;-0.129635;
2.8728e-07;-0.129635;
2.8828e-07;-0.129635;
2.8928e-07;-0.129635;
2.9028e-07;-0.129635;
2.9128e-07;-0.129635;
2.9228e-07;-0.129635;
2.9328e-07;-0.129635;
2.9428e-07;-0.129635;
2.9528e-07;-0.129635;
2.9628e-07;-0.129635;
2.9728e-07;-0.129635;
2.9828e-07;-0.129635;
2.9928e-07;-0.129635;
3.0028e-07;-0.129635;
3.0128e-07;-0.129635;
3.0228e-07;-0.129635;
3.0328e-07;-0.129635;
3.0428e-07;-0.129635;
3.0528e-07;-0.129635;
3.0628e-07;-0.129635;
3.0728e-07;-0.129635;
3.0828e-07;-0.129635;
3.0928e-07;-0.129635;
3.1028e-07;-0.129635;
3.1128e-07;-0.129635;
3.1228e-07;-0.129635;
3.1328e-07;-0.129635;
3.1428e-07;-0.129635;
3.1528e-07;-0.129635;
3.1628e-07;-0.129635;
3.1728e-07;-0.129635;
3.1828e-07;-0.129635;
3.1928e-07;-0.129635;
3.2028e-07;-0.129635;
3.2128e-07;-0.129635;
3.2228e-07;-0.129635;
3.2328e-07;-0.129635;
3.2428e-07;-0.129635;
3.2528e-07;-0.129635;
3.2628e-07;-0.129635;
3.2728e-07;-0.129635;
3.2828e-07;-0.129635;
3.2928e-07;-0.129635;
3.3028e-07;-0.129635;
3.3128e-07;-0.129635;
3.3228e-07;-0.129635;
3.3328e-07;-0.129635;
3.3428e-07;-0.129635;
3.3528e-07;-0.129635;
3.3628e-07;-0.129635;
3.3728e-07;-0.129635;
3.3828e-07;-0.129635;
3.3928e-07;-0.129635;
3.4028e-07;-0.129635;
3.4128e-07;-0.129635;
3.4228e-07;-0.129635;
3.4328e-07;-0.129635;
3.4428e-07;-0.129635;
3.4528e-07;-0.129635;
3.4628e-07;-0.129635;
3.4728e-07;-0.129635;
3.4828e-07;-0.129635;
3.4928e-07;-0.129635;
3.5028e-07;-0.129635;
3.5128e-07;-0.129635;
3.5228e-07;-0.129635;
